customer_id,age,annual_income,credit_score,gender,purchase
1,53,61016.92,399,Female,true
2,26,37106.29,496,Female,false
3,67,87065.0,539,Female,true
4,61,89463.78,309,Female,false
5,66,83521.29,338,Female,true
6,21,47689.96,450,Female,true
7,66,56151.75,496,Female,false
8,60,61062.8,664,Male,false
9,78,88815.01,411,Female,false
10,50,80383.93,784,Female,false
11,43,73745.86,537,Female,false
12,23,35616.52,433,Male,true
13,75,69157.25,822,Male,false
14,79,62184.06,538,Male,false
15,77,36438.3,414,Male,false
16,71,87350.46,757,Female,true
17,59,48023.18,473,Female,true
18,22,39987.28,419,Male,true
19,20,86940.04,487,Male,false
20,30,33182.28,375,Female,false
21,36,96367.33,409,Female,true
22,42,76554.21,371,Male,true
23,34,62365.86,340,Male,false
24,60,94069.36,324,Male,false
25,57,67227.2,672,Male,true
26,73,55954.58,766,Female,true
27,73,72721.11,801,Male,true
28,39,43019.95,758,Male,false
29,29,66552.34,479,Female,false
30,25,63041.75,703,Female,false
31,22,87668.41,342,Female,false
32,48,36717.24,680,Female,true
33,52,75220.92,714,Female,false
34,80,89476.63,684,Male,true
35,54,70425.15,800,Female,true
36,46,76019.87,769,Male,true
37,66,51460.03,390,Male,true
38,46,83153.81,495,Female,false
39,32,38703.35,362,Female,true
40,41,89514.42,520,Female,true
41,49,82648.02,665,Female,true
42,80,82989.52,321,Male,false
43,49,33094.31,388,Female,true
44,29,87410.9,534,Female,false
45,70,83370.7,411,Female,true
46,53,55489.08,813,Male,true
47,28,85552.31,737,Male,true
48,27,33845.48,359,Male,false
49,21,60792.65,634,Female,true
50,64,97562.14,455,Female,false
51,37,83754.58,689,Male,true
52,27,88893.38,834,Male,false
53,61,35742.93,378,Female,false
54,24,97801.76,687,Male,true
55,19,59597.17,474,Female,false
56,46,87045.42,849,Female,false
57,26,32090.54,834,Male,false
58,61,76576.0,439,Male,false
59,70,30462.84,405,Female,true
60,62,38161.07,370,Male,false
61,48,87656.78,414,Female,true
62,42,61771.42,619,Female,false
63,38,76651.01,778,Female,false
64,31,44576.01,493,Female,false
65,26,83265.75,453,Female,true
66,74,99387.56,739,Female,false
67,60,47644.54,446,Male,false
68,46,88538.1,770,Female,false
69,28,71920.95,300,Male,true
70,50,73898.59,339,Male,true
71,24,93556.03,695,Female,true
72,59,89425.92,791,Male,false
73,36,80525.81,485,Female,false
74,51,61296.42,671,Female,false
75,70,94040.44,517,Male,true
76,77,91591.13,367,Male,true
77,18,83408.89,405,Female,false
78,65,56242.08,436,Female,false
79,37,96125.94,354,Female,false
80,36,65075.15,819,Male,false
81,60,33195.25,525,Male,true
82,62,81742.34,568,Male,true
83,70,43680.69,543,Male,true
84,68,81533.76,787,Male,true
85,38,85859.53,550,Male,true
86,46,33803.83,658,Female,false
87,80,70254.85,822,Female,false
88,48,92518.32,741,Male,false
89,57,33310.36,490,Male,true
90,42,97686.19,787,Male,true
91,80,77040.36,754,Female,false
92,35,89647.8,792,Male,true
93,76,32839.41,766,Female,true
94,34,73452.86,302,Male,false
95,38,89798.43,771,Female,false
96,54,61008.78,505,Female,true
97,48,64684.34,307,Male,true
98,26,74517.03,548,Female,false
99,19,43935.54,795,Female,false
100,49,49681.34,546,Male,true
101,38,80936.16,805,Male,false
102,72,85431.5,836,Male,false
103,49,51944.7,488,Male,true
104,74,98036.47,400,Male,true
105,24,69190.14,800,Male,false
106,23,78926.64,634,Female,true
107,41,96418.55,494,Female,false
108,18,58717.54,459,Female,false
109,29,92167.65,629,Male,true
110,57,55903.16,303,Male,true
111,76,88083.47,731,Male,false
112,53,96558.51,588,Female,false
113,35,60288.7,421,Female,true
114,76,60651.32,398,Male,false
115,66,63148.91,842,Female,false
116,21,74052.61,658,Female,false
117,31,69672.48,387,Female,true
118,78,72203.91,378,Male,true
119,73,37227.88,786,Male,false
120,48,57642.3,634,Male,false
121,64,85466.47,489,Female,false
122,59,35515.79,715,Female,false
123,39,87296.74,756,Female,true
124,19,80147.47,632,Male,false
125,59,40898.48,467,Female,false
126,61,55628.92,595,Female,true
127,70,54876.14,697,Female,true
128,64,75635.6,499,Female,false
129,43,69003.13,482,Female,false
130,70,92995.5,759,Female,false
131,27,51282.11,654,Male,false
132,36,66407.98,833,Female,false
133,59,70433.15,680,Female,false
134,40,89635.4,567,Male,false
135,75,96855.91,758,Female,false
136,37,52623.59,652,Male,true
137,19,95544.13,519,Male,false
138,48,81970.31,611,Male,false
139,19,59001.17,813,Female,false
140,64,56765.97,539,Female,true
141,32,84151.78,521,Male,true
